time_s,dominant_freq_hz
11.008,37476.562
11.050667,37429.688
11.093333,37500.0
11.136,8648.4375
11.178667,8976.5625
11.2213335,8812.5
11.264,8812.5
11.306666,8789.0625
11.349334,8789.0625
11.392,8929.6875
11.434667,8648.4375
11.477333,8695.3125
11.52,8765.625
11.562667,8718.75
11.605333,8953.125
11.648,8789.0625
11.690666,8601.5625
11.733334,8859.375
11.776,8765.625
11.818666,8835.9375
11.861333,8671.875
11.904,8906.25
11.946667,8835.9375
11.989333,8695.3125
12.032,8742.1875
12.074667,8812.5
12.117333,37453.125
12.16,8765.625
12.202666,37500.0
12.245334,8835.9375
12.288,8742.1875
12.330667,8859.375
12.373333,38390.625
12.416,8601.5625
12.458667,8601.5625
12.501333,8648.4375
12.544,8812.5
12.586667,8625.0
12.6293335,8742.1875
12.672,8812.5
12.714666,8601.5625
12.757334,8648.4375
12.8,8742.1875
12.842667,8625.0
12.885333,8765.625
12.928,8578.125
12.970667,8648.4375
13.013333,8648.4375
13.056,8625.0
13.098666,9000.0
13.141334,9000.0
13.184,37476.562
13.226666,37429.688
13.269333,37453.125
13.312,9000.0
13.354667,8906.25
13.397333,8906.25
13.44,37875.0
13.482667,8953.125
13.525333,8953.125
13.568,8859.375
13.610666,8695.3125
13.653334,8812.5
13.696,8648.4375
13.738667,8765.625
13.781333,8578.125
13.824,8695.3125
13.866667,9000.0
13.909333,8601.5625
13.952,8812.5
13.994667,8601.5625
14.0373335,8625.0
14.08,8578.125
14.122666,8859.375
14.165334,8835.9375
14.208,8601.5625
14.250667,37500.0
14.293333,37523.438
14.336,37453.125
14.378667,8812.5
14.421333,8718.75
14.464,8742.1875
14.506667,37898.438
14.549334,37664.062
14.592,8812.5
14.634666,8789.0625
14.677333,8953.125
14.72,8695.3125
14.762667,8953.125
14.805333,8953.125
14.848,8906.25
14.890667,8812.5
14.933333,8695.3125
14.976,8695.3125
15.018666,8625.0
15.061334,8953.125
15.104,8718.75
15.146667,8976.5625
15.189333,8906.25
15.232,8953.125
15.274667,8648.4375
15.317333,8718.75
15.36,37429.688
15.402667,37429.688
15.4453335,8976.5625
15.488,8742.1875
15.530666,8835.9375
15.573334,8929.6875
15.616,37898.438
15.658667,9000.0
15.701333,8742.1875
15.744,8671.875
15.786667,8882.8125
15.829333,8695.3125
15.872,8695.3125
15.914667,8648.4375
15.957334,8835.9375
16.0,8835.9375
16.042667,8976.5625
16.085333,8929.6875
16.128,8882.8125
16.170666,9000.0
16.213333,8812.5
16.256,8953.125
16.298666,8953.125
16.341333,9023.4375
16.384,8976.5625
16.426666,37476.562
16.469334,37476.562
16.512,37500.0
16.554667,8859.375
16.597334,8648.4375
16.64,8906.25
16.682667,37078.125
16.725334,8718.75
16.768,8835.9375
16.810667,8695.3125
16.853333,8601.5625
16.896,8601.5625
16.938667,8789.0625
16.981333,8765.625
17.024,8859.375
17.066668,8742.1875
17.109333,8882.8125
17.152,9000.0
17.194666,8671.875
17.237333,8671.875
17.28,8953.125
17.322666,8789.0625
17.365334,8953.125
17.408,8789.0625
17.450666,8882.8125
17.493334,9000.0
17.536,37523.438
